host	registrable	tld	ip	hosting	function	tier
ad.besti.one	besti.one	one	NODNS	DEAD	other	THROWAWAY
aaa.bestfortop2021.xyz	bestfortop2021.xyz	xyz	NODNS	DEAD	other	THROWAWAY
aff.alhlm-mbc.store	alhlm-mbc.store	store	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.azzaqloiyy.xyz	azzaqloiyy.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
ads1z.adsleads1.store	adsleads1.store	store	NODNS	DEAD	other	THROWAWAY
aff.bestofadsdailytop.art	bestofadsdailytop.art	art	NODNS	DEAD	affiliate	THROWAWAY
aff.elcheek2024.store	elcheek2024.store	store	NODNS	DEAD	affiliate	THROWAWAY
aff.asfasfasf23333.online	asfasfasf23333.online	online	NODNS	DEAD	affiliate	THROWAWAY
ad.magany.xyz	magany.xyz	xyz	NODNS	DEAD	other	THROWAWAY
aff.bestleadsever1510.store	bestleadsever1510.store	store	NODNS	DEAD	affiliate	THROWAWAY
aff.cpapromote2021.xyz	cpapromote2021.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.alphaleads31413.site	alphaleads31413.site	site	NODNS	DEAD	affiliate	THROWAWAY
aff.99offers.site	99offers.site	site	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.asofjqsof3424.xyz	asofjqsof3424.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
1.anynewdomain.it	anynewdomain.it	it	NODNS	DEAD	other	THROWAWAY
aff.bestalphaleads113.site	bestalphaleads113.site	site	NODNS	DEAD	affiliate	THROWAWAY
ads.stanlonic.today	stanlonic.today	today	108.178.23.116	LIVE-INAP	other	THROWAWAY
afc01.bbmyj.buzz	bbmyj.buzz	buzz	108.178.23.116	LIVE-INAP	other	THROWAWAY
add.aiguodgeage.com	aiguodgeage.com	com	NODNS	DEAD	other	CORE
24.freexye.xyz	freexye.xyz	xyz	NODNS	DEAD	other	THROWAWAY
aff.bdoffers.tech	bdoffers.tech	tech	NODNS	DEAD	affiliate	THROWAWAY
abre.merlindabem.wiki	merlindabem.wiki	wiki	NODNS	DEAD	other	THROWAWAY
aff.adsgdg24124t.xyz	adsgdg24124t.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
a1b1.accessflows.cc	accessflows.cc	cc	108.178.23.116	LIVE-INAP	other	CORE
ady.mom	ady.mom	mom	NODNS	DEAD	other	THROWAWAY
20.notify115.xyz	notify115.xyz	xyz	NODNS	DEAD	other	THROWAWAY
aff.affiliateads31t134.xyz	affiliateads31t134.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
a1.ouej.click	ouej.click	click	NODNS	DEAD	other	THROWAWAY
admin.advertisingdomain.online	advertisingdomain.online	online	108.178.23.116	LIVE-INAP	other	THROWAWAY
aff.brandhor.org	brandhor.org	org	108.178.23.116	LIVE-INAP	affiliate	CORE
aff.elseny33.shop	elseny33.shop	shop	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.adsleadspro.store	adsleadspro.store	store	NODNS	DEAD	affiliate	THROWAWAY
aff.boffers.shop	boffers.shop	shop	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
ads2.monetize-domain.com	monetize-domain.com	com	NODNS	DEAD	other	CORE
aff.enterforprize.xyz	enterforprize.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.freegiga.online	freegiga.online	online	NODNS	DEAD	affiliate	THROWAWAY
aff.free11.site	free11.site	site	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.getagift2026.online	getagift2026.online	online	NODNS	DEAD	affiliate	THROWAWAY
aff.givaawy2026.shop	givaawy2026.shop	shop	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.giftar.online	giftar.online	online	NODNS	DEAD	affiliate	THROWAWAY
aff.bestadsonline.com	bestadsonline.com	com	NODNS	DEAD	affiliate	CORE
aff.gayzone.xyz	gayzone.xyz	xyz	76.223.54.146	LIVE-ALT	affiliate	THROWAWAY
aff.kauda43d983.store	kauda43d983.store	store	NODNS	DEAD	affiliate	THROWAWAY
aff.goodads10001.site	goodads10001.site	site	NODNS	DEAD	affiliate	THROWAWAY
aff.leadsfg37uf3aa.site	leadsfg37uf3aa.site	site	NODNS	DEAD	affiliate	THROWAWAY
aff1.hiddentrinkets.com	hiddentrinkets.com	com	108.178.23.116	LIVE-INAP	affiliate	CORE
aff.menut2022.xyz	menut2022.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.mextata.xyz	mextata.xyz	xyz	NODNS	DEAD	affiliate	THROWAWAY
aff.oriventar.online	oriventar.online	online	108.178.23.116	LIVE-INAP	affiliate	THROWAWAY
aff.jugjbkbbhv.store	jugjbkbbhv.store	store	NODNS	DEAD	affiliate	THROWAWAY
