ad.besti.one	NODNS	-
aaa.bestfortop2021.xyz	NODNS	-
aff.alhlm-mbc.store	108.178.23.116	-
aff.azzaqloiyy.xyz	NODNS	-
ads1z.adsleads1.store	NODNS	-
aff.bestofadsdailytop.art	NODNS	-
aff.elcheek2024.store	NODNS	-
aff.asfasfasf23333.online	NODNS	-
ad.magany.xyz	NODNS	-
aff.bestleadsever1510.store	NODNS	-
aff.cpapromote2021.xyz	NODNS	-
aff.alphaleads31413.site	NODNS	-
aff.99offers.site	108.178.23.116	-
aff.asofjqsof3424.xyz	NODNS	-
1.anynewdomain.it	NODNS	-
aff.bestalphaleads113.site	NODNS	-
ads.stanlonic.today	108.178.23.116	-
afc01.bbmyj.buzz	108.178.23.116	-
add.aiguodgeage.com	NODNS	-
24.freexye.xyz	NODNS	-
aff.bdoffers.tech	NODNS	-
abre.merlindabem.wiki	NODNS	-
aff.adsgdg24124t.xyz	NODNS	-
a1b1.accessflows.cc	108.178.23.116	-
ady.mom	NODNS	-
20.notify115.xyz	NODNS	-
aff.affiliateads31t134.xyz	NODNS	-
a1.ouej.click	NODNS	-
admin.advertisingdomain.online	108.178.23.116	-
aff.brandhor.org	108.178.23.116	-
aff.elseny33.shop	108.178.23.116	-
aff.adsleadspro.store	NODNS	-
aff.boffers.shop	108.178.23.116	-
ads2.monetize-domain.com	NODNS	-
aff.enterforprize.xyz	NODNS	-
aff.freegiga.online	NODNS	-
aff.free11.site	108.178.23.116	-
aff.getagift2026.online	NODNS	-
aff.givaawy2026.shop	108.178.23.116	-
aff.giftar.online	NODNS	-
aff.bestadsonline.com	NODNS	-
aff.gayzone.xyz	76.223.54.146	-
aff.kauda43d983.store	NODNS	-
aff.goodads10001.site	NODNS	-
aff.leadsfg37uf3aa.site	NODNS	-
aff1.hiddentrinkets.com	108.178.23.116	-
aff.menut2022.xyz	NODNS	-
aff.mextata.xyz	NODNS	-
aff.oriventar.online	108.178.23.116	-
aff.jugjbkbbhv.store	NODNS	-
aff.leadgenbestads100.site	NODNS	-
aff.online-store.uno	NODNS	-
aff.emancipation-numerique.com	NODNS	-
aff.silkarcadegood.xyz	NODNS	-
aff.playandwin2021.xyz	NODNS	-
aff.mediatrafficleads.xyz	NODNS	-
aff.spingifts2024.pics	NODNS	-
aff.suishoucc.life	NODNS	-
aff.topera.online	108.178.23.116	-
aff.signupgov.site	NODNS	-
aff.urbestchoice.website	NODNS	-
aff.winners2025.site	NODNS	-
aff.winnerofyear.site	NODNS	-
a.linkabc.click	NODNS	-
a.free5019.xyz	NODNS	-
alert.freedeals.xyz	NODNS	-
af.odyss.site	NODNS	-
a.link2f.click	NODNS	-
aff.winprizess.website	NODNS	-
aff.fokstech.com	108.178.23.116	-
a.gowellbody.info	NODNS	-
allday.onemoretogo.cfd	NODNS	-
all.c.co-ooe.xyz	108.178.23.116	-
alphabsla1.basla.xyz	13.248.169.48	-
and.bestallfortoday.click	108.178.23.116	-
app.fapelo.us	108.178.23.116	-
akk.medioffer.shop	108.178.23.116	-
app.lnk.deals	NODNS	-
app.shuusaku.site	NODNS	-
apprecists.problisted.shop	NODNS	-
areyouuready.areyouready333.xyz	NODNS	-
ar.mbcelhelm.store	NODNS	-
asd.a02seftrk.click	NODNS	-
app.gabbulife.com	NODNS	-
amteer.fislezcrispcfs.plus	NODNS	-
a.tiktoklived.mom	NODNS	-
affiliate.znexta.com	108.178.23.116	-
aff.uvnwe.com	NODNS	-
awa.mertrekdom.live	NODNS	-
attention.service-gate.space	NODNS	-
bbsla.bbsaa.xyz	108.178.23.116	-
bg.win-2027.store	108.178.23.116	-
ave.vdoeroz.club	NODNS	-
besti.one	NODNS	-
aff.rankspoint.com	NODNS	-
bbb.qtteg.click	108.178.23.116	-
best.winningday.site	NODNS	-
business.sepakioyen.biz	NODNS	-
brakivon.brakivon.shop	NODNS	-
bl.bluepill.cfd	NODNS	-
bounty.leadseagle.shop	108.178.23.116	-
alpha.flyinmob.com	108.178.23.116	flyinmob.com
aop.offernewurl.com	NODNS	-
b.win-g.click	NODNS	-
bestoffers.libinks.com	NODNS	-
cest.tresbonne.store	NODNS	-
click.savings.fit	108.178.23.116	-
app.rwclick.com	108.178.23.116	-
cl.im.goldprizes.site	108.178.23.116	-
cl.luck2026.shop	108.178.23.116	-
cr2.sswtrack.pro	NODNS	-
cv.clickverification.xyz	NODNS	-
dash.carinsure.com.ng	108.178.23.116	-
aff.makeitnow.click	103.224.212.217	-
dit.boatontheriver.life	NODNS	-
demo2.apex-cdn.xyz	108.178.23.116	-
d.mne12.store	108.178.23.116	-
dark.sparknest.lol	108.178.23.116	-
derr.det.recipesf.site	108.178.23.116	-
br.xn--jfxa7451a.xn--6qq986b3xl	NODNS	-
ad.tags123.com	108.178.23.116	-
clk.winknearby.com	108.178.23.116	-
do2.loopterra.help	108.178.23.116	-
bonus.aprizedaily.com	108.178.23.116	-
docs.printabelgenerator.biz.id	108.178.23.116	-
dash.updatesdaily.top	108.178.23.116	-
aff.7elm.info	NODNS	-
eed.maravilhadepe.quest	NODNS	-
e.e-e-e.world	NODNS	-
f.101win.xyz	NODNS	-
click.prize-win.today	NODNS	-
1001.helptracker.top	NODNS	-
fb.makemorem.xyz	NODNS	-
fft.nomaol.xyz	108.178.23.116	-
fee.tracking775.top	108.178.23.116	-
firele.adsleads1.store	NODNS	-
dreammbc2021.linkauto1.com	NODNS	-
free.adgetpromo.xyz	108.178.23.116	-
aff.sixtys7.site	104.219.250.37	-
free.aditms.me	108.178.23.116	-
free.chillingtv.space	NODNS	-
dinserve.inber.net	168.119.79.225	-
free.freedataph.click	108.178.23.116	-
click.estimatorreclusereformed.com	108.178.23.116	-
free.gf920.com	108.178.23.116	-
free.happy-tuesday.xyz	NODNS	-
free.goodfall.online	108.178.23.116	-
download.mobilezella.com	108.178.23.116	-
free.prizesforyou.buzz	NODNS	-
free.happy03gift.cfd	108.178.23.116	-
free.onlytoday.gifts	NODNS	-
flow.samsung.bet	NODNS	-
el7elm.mbcdream.cf	NODNS	-
free.gatemetric.top	108.178.23.116	-
dao.winknearby.com	108.178.23.116	-
frv.smartingtip.digital	NODNS	-
free.t8cx.com	NODNS	-
free.winyou.work	NODNS	-
game.38710.fun	NODNS	-
funskills.skilloskkk.fun	NODNS	-
blog.hzy0613.dpdns.org	108.178.23.116	-
get.betfreeonline.xyz	NODNS	-
flyinmob.com	108.178.23.116	-
get.landingly.store	NODNS	-
aff.tur1n.it	108.178.23.116	-
get.freshgreens.garden	108.178.23.116	-
getoffer.letsactive.xyz	NODNS	-
get.ofgreat.club	NODNS	-
get.mobgifts.cfd	108.178.23.116	-
get.ziuixeois.online	108.178.23.116	-
bananini.tungtungsahuu.online	NODNS	-
get.xenvo.cyou	108.178.23.116	-
games.playzix.com	108.178.23.116	playzix.com
girl.chatgree.club	NODNS	-
ftb.thinkingguru.com	108.178.23.116	-
gmt.483183.xyz	108.178.23.116	-
