host	status	resolved	server	final_url	title
akk.medioffer.shop	DEAD	108.178.23.116	-	https://akk.medioffer.shop/	-
app.fapelo.us	404	108.178.23.116	nginx	https://app.fapelo.us/	404 Not Found
admin.advertisingdomain.online	404	108.178.23.116	nginx	https://admin.advertisingdomain.online/	404 Not Found
aff.alhlm-mbc.store	404	108.178.23.116	nginx	https://aff.alhlm-mbc.store/	404 Not Found
aff.99offers.site	404	108.178.23.116	nginx	https://aff.99offers.site/	404 Not Found
and.bestallfortoday.click	404	108.178.23.116	nginx	https://and.bestallfortoday.click/	404 Not Found
aff.givaawy2026.shop	404	108.178.23.116	nginx	https://aff.givaawy2026.shop/	404 Not Found
all.c.co-ooe.xyz	404	108.178.23.116	nginx	https://all.c.co-ooe.xyz/	404 Not Found
aff.topera.online	404	108.178.23.116	nginx	https://aff.topera.online/	404 Not Found
afc01.bbmyj.buzz	404	108.178.23.116	nginx	https://afc01.bbmyj.buzz/	404 Not Found
aff.oriventar.online	404	108.178.23.116	nginx	https://aff.oriventar.online/	404 Not Found
alpha.flyinmob.com	DEAD	108.178.23.116	-	https://alpha.flyinmob.com/	-
aff.brandhor.org	404	108.178.23.116	nginx	https://aff.brandhor.org/	404 Not Found
aff.free11.site	404	108.178.23.116	nginx	https://aff.free11.site/	404 Not Found
aff.boffers.shop	404	108.178.23.116	nginx	https://aff.boffers.shop/	404 Not Found
ads.stanlonic.today	404	108.178.23.116	nginx	https://ads.stanlonic.today/	404 Not Found
a1b1.accessflows.cc	DEAD	108.178.23.116	-	https://a1b1.accessflows.cc/	-
aff.elseny33.shop	404	108.178.23.116	nginx	https://aff.elseny33.shop/	404 Not Found
app.rwclick.com	404	108.178.23.116	nginx	https://app.rwclick.com/	404 Not Found
affiliate.znexta.com	404	108.178.23.116	nginx	https://affiliate.znexta.com/	404 Not Found
aff1.hiddentrinkets.com	404	108.178.23.116	nginx	https://aff1.hiddentrinkets.com/	404 Not Found
aff.fokstech.com	404	108.178.23.116	nginx	https://aff.fokstech.com/	404 Not Found
bbb.qtteg.click	DEAD	108.178.23.116	-	https://bbb.qtteg.click/	-
aff.tur1n.it	DEAD	108.178.23.116	-	https://aff.tur1n.it/	-
dash.carinsure.com.ng	DEAD	108.178.23.116	-	https://dash.carinsure.com.ng/	-
do2.loopterra.help	DEAD	108.178.23.116	-	https://do2.loopterra.help/	-
ad.tags123.com	404	108.178.23.116	nginx	https://ad.tags123.com/	404 Not Found
bbsla.bbsaa.xyz	404	108.178.23.116	nginx	https://bbsla.bbsaa.xyz/	404 Not Found
cl.im.goldprizes.site	404	108.178.23.116	nginx	https://cl.im.goldprizes.site/	404 Not Found
cl.luck2026.shop	404	108.178.23.116	nginx	https://cl.luck2026.shop/	404 Not Found
click.savings.fit	404	108.178.23.116	nginx	https://click.savings.fit/	404 Not Found
bonus.aprizedaily.com	404	108.178.23.116	nginx	https://bonus.aprizedaily.com/	404 Not Found
bg.win-2027.store	404	108.178.23.116	nginx	https://bg.win-2027.store/	404 Not Found
demo2.apex-cdn.xyz	404	108.178.23.116	nginx	https://demo2.apex-cdn.xyz/	404 Not Found
derr.det.recipesf.site	404	108.178.23.116	nginx	https://derr.det.recipesf.site/	404 Not Found
d.mne12.store	404	108.178.23.116	nginx	https://d.mne12.store/	404 Not Found
docs.printabelgenerator.biz.id	404	108.178.23.116	nginx	https://docs.printabelgenerator.biz.id/	404 Not Found
clk.winknearby.com	404	108.178.23.116	nginx	https://clk.winknearby.com/	404 Not Found
dao.winknearby.com	404	108.178.23.116	nginx	https://dao.winknearby.com/	404 Not Found
click.estimatorreclusereformed.com	404	108.178.23.116	nginx	https://click.estimatorreclusereformed.com/	404 Not Found
dash.updatesdaily.top	404	108.178.23.116	nginx	https://dash.updatesdaily.top/	404 Not Found
fft.nomaol.xyz	404	108.178.23.116	nginx	https://fft.nomaol.xyz/	404 Not Found
fee.tracking775.top	404	108.178.23.116	nginx	https://fee.tracking775.top/	404 Not Found
free.adgetpromo.xyz	404	108.178.23.116	nginx	https://free.adgetpromo.xyz/	404 Not Found
flyinmob.com	DEAD	108.178.23.116	-	https://flyinmob.com/	-
blog.hzy0613.dpdns.org	404	108.178.23.116	nginx	https://blog.hzy0613.dpdns.org/	404 Not Found
download.mobilezella.com	404	108.178.23.116	nginx	https://download.mobilezella.com/	404 Not Found
free.freedataph.click	404	108.178.23.116	nginx	https://free.freedataph.click/	404 Not Found
get.mobgifts.cfd	DEAD	108.178.23.116	-	https://get.mobgifts.cfd/	-
free.gf920.com	404	108.178.23.116	nginx	https://free.gf920.com/	404 Not Found
bounty.leadseagle.shop	404	108.178.23.116	nginx	https://bounty.leadseagle.shop/	404 Not Found
free.goodfall.online	404	108.178.23.116	nginx	https://free.goodfall.online/	404 Not Found
free.happy03gift.cfd	404	108.178.23.116	nginx	https://free.happy03gift.cfd/	404 Not Found
games.playzix.com	DEAD	108.178.23.116	-	https://games.playzix.com/	-
get.xenvo.cyou	404	108.178.23.116	nginx	https://get.xenvo.cyou/	404 Not Found
get.ziuixeois.online	404	108.178.23.116	nginx	https://get.ziuixeois.online/	404 Not Found
ftc.thinkingguru.com	404	108.178.23.116	nginx	https://ftc.thinkingguru.com/	404 Not Found
gmt.483183.xyz	404	108.178.23.116	nginx	https://gmt.483183.xyz/	404 Not Found
freetry.i69mb.com	404	108.178.23.116	nginx	https://freetry.i69mb.com/	404 Not Found
go.boosthq2.online	404	108.178.23.116	nginx	https://go.boosthq2.online/	404 Not Found
go.bdzone24.store	404	108.178.23.116	nginx	https://go.bdzone24.store/	404 Not Found
go.rew76.com	DEAD	108.178.23.116	-	https://go.rew76.com/	-
ftb.thinkingguru.com	404	108.178.23.116	nginx	https://ftb.thinkingguru.com/	404 Not Found
gift.ts551.com	404	108.178.23.116	nginx	https://gift.ts551.com/	404 Not Found
free.gatemetric.top	404	108.178.23.116	nginx	https://free.gatemetric.top/	404 Not Found
halilibul.site	DEAD	108.178.23.116	-	https://halilibul.site/	-
go.your-premium-gift.online	404	108.178.23.116	nginx	https://go.your-premium-gift.online/	404 Not Found
go.click-2-offer.com	404	108.178.23.116	nginx	https://go.click-2-offer.com/	404 Not Found
go.trknest.com	404	108.178.23.116	nginx	https://go.trknest.com/	404 Not Found
h1.fkeiv.click	404	108.178.23.116	nginx	https://h1.fkeiv.click/	404 Not Found
jenny.cosmicriverpath.pics	DEAD	108.178.23.116	-	https://jenny.cosmicriverpath.pics/	-
kaverod.kaverod.shop	DEAD	108.178.23.116	-	https://kaverod.kaverod.shop/	-
go.qiuqiu12223.top	DEAD	108.178.23.116	-	https://go.qiuqiu12223.top/	-
kivorax.kivorax.shop	DEAD	108.178.23.116	-	https://kivorax.kivorax.shop/	-
lim44.fluxora.lol	DEAD	108.178.23.116	-	https://lim44.fluxora.lol/	-
gall.digihone.com	404	108.178.23.116	nginx	https://gall.digihone.com/	404 Not Found
guru.leadseagle.shop	404	108.178.23.116	nginx	https://guru.leadseagle.shop/	404 Not Found
incoming.akademyloaded.online	404	108.178.23.116	nginx	https://incoming.akademyloaded.online/	404 Not Found
grace.congeniallinkway.life	404	108.178.23.116	nginx	https://grace.congeniallinkway.life/	404 Not Found
m.cloudmetricapi.shop	DEAD	108.178.23.116	-	https://m.cloudmetricapi.shop/	-
merkulashop.merkulashop.shop	DEAD	108.178.23.116	-	https://merkulashop.merkulashop.shop/	-
just.zupertrakk.com	404	108.178.23.116	nginx	https://just.zupertrakk.com/	404 Not Found
live.mal-2026.store	404	108.178.23.116	nginx	https://live.mal-2026.store/	404 Not Found
here.giantmournerpreface.com	404	108.178.23.116	nginx	https://here.giantmournerpreface.com/	404 Not Found
m.fansaty.online	404	108.178.23.116	nginx	https://m.fansaty.online/	404 Not Found
master.cloud-offers.com	404	108.178.23.116	nginx	https://master.cloud-offers.com/	404 Not Found
m.myhot10.online	404	108.178.23.116	nginx	https://m.myhot10.online/	404 Not Found
mon2.tujianshe.com	DEAD	108.178.23.116	-	https://mon2.tujianshe.com/	-
mon3.tujianshe.website	404	108.178.23.116	nginx	https://mon3.tujianshe.website/	404 Not Found
mon.pronaichat.com	404	108.178.23.116	nginx	https://mon.pronaichat.com/	404 Not Found
offersnew.fun	DEAD	153.92.12.68	-	https://offersnew.fun/	-
mtz.impacthub.ph	404	108.178.23.116	nginx	https://mtz.impacthub.ph/	404 Not Found
mn.zk260527ah.cfd	404	108.178.23.116	nginx	https://mn.zk260527ah.cfd/	404 Not Found
m.18vc.ccwu.cc	404	108.178.23.116	nginx	https://m.18vc.ccwu.cc/	404 Not Found
ngabul.halilibul.site	404	108.178.23.116	nginx	https://ngabul.halilibul.site/	404 Not Found
new.bonusappscenter.online	404	108.178.23.116	nginx	https://new.bonusappscenter.online/	404 Not Found
my.usafinds.site	404	108.178.23.116	nginx	https://my.usafinds.site/	404 Not Found
node.apex-cdn.xyz	404	108.178.23.116	nginx	https://node.apex-cdn.xyz/	404 Not Found
mon.mediaflowtrack.com	404	108.178.23.116	nginx	https://mon.mediaflowtrack.com/	404 Not Found
net.beatmobi.com	404	108.178.23.116	nginx	https://net.beatmobi.com/	404 Not Found
noty.mudiji.com	DEAD	108.178.23.116	-	https://noty.mudiji.com/	-
m.updatingnow.top	DEAD	108.178.23.116	-	https://m.updatingnow.top/	-
now.redirectingu.com	404	108.178.23.116	nginx	https://now.redirectingu.com/	404 Not Found
offer.m5555.shop	404	108.178.23.116	nginx	https://offer.m5555.shop/	404 Not Found
offer.annahub.cc	404	108.178.23.116	nginx	https://offer.annahub.cc/	404 Not Found
kc.toskys.cn	404	108.178.23.116	nginx	https://kc.toskys.cn/	404 Not Found
offer.sssssssssss2.online	404	108.178.23.116	nginx	https://offer.sssssssssss2.online/	404 Not Found
offer.mas122.com	404	108.178.23.116	nginx	https://offer.mas122.com/	404 Not Found
offer.absurdvote.com	404	108.178.23.116	nginx	https://offer.absurdvote.com/	404 Not Found
paxenro.paxenro.shop	DEAD	108.178.23.116	-	https://paxenro.paxenro.shop/	-
offer.sssssssssss5.online	404	108.178.23.116	nginx	https://offer.sssssssssss5.online/	404 Not Found
out.quantumriverforge.bond	DEAD	108.178.23.116	-	https://out.quantumriverforge.bond/	-
ok.ucanwin.site	404	108.178.23.116	nginx	https://ok.ucanwin.site/	404 Not Found
praxemio.praxemio.shop	DEAD	108.178.23.116	-	https://praxemio.praxemio.shop/	-
off.smart302.com	404	108.178.23.116	nginx	https://off.smart302.com/	404 Not Found
pubs1.puls1o.xyz	DEAD	108.178.23.116	-	https://pubs1.puls1o.xyz/	-
pay.earnvips.xyz	404	108.178.23.116	nginx	https://pay.earnvips.xyz/	404 Not Found
playzix.com	DEAD	108.178.23.116	-	https://playzix.com/	-
happy.613873.xyz	404	108.178.23.116	nginx	https://happy.613873.xyz/	404 Not Found
qarivon.qarivon.shop	DEAD	108.178.23.116	-	https://qarivon.qarivon.shop/	-
pr.ehealthinsurance.com.ng	404	108.178.23.116	nginx	https://pr.ehealthinsurance.com.ng/	404 Not Found
push.fansforrewards.club	404	108.178.23.116	nginx	https://push.fansforrewards.club/	404 Not Found
open.digitaltechware.com	404	108.178.23.116	nginx	https://open.digitaltechware.com/	404 Not Found
pt.trackfllighttour.com	404	108.178.23.116	nginx	https://pt.trackfllighttour.com/	404 Not Found
receive.globalpromos.online	404	108.178.23.116	nginx	https://receive.globalpromos.online/	404 Not Found
s.offerspubhub.online	DEAD	108.178.23.116	-	https://s.offerspubhub.online/	-
syntrad.syntrad.shop	DEAD	108.178.23.116	-	https://syntrad.syntrad.shop/	-
m.rhhe.top	404	108.178.23.116	nginx	https://m.rhhe.top/	404 Not Found
tavindal.tavindal.shop	DEAD	108.178.23.116	-	https://tavindal.tavindal.shop/	-
serv.thefastest.asia	404	108.178.23.116	nginx	https://serv.thefastest.asia/	404 Not Found
tr67.cleverstonegroup.space	DEAD	108.178.23.116	-	https://tr67.cleverstonegroup.space/	-
tr63.blueharbornest.space	DEAD	108.178.23.116	-	https://tr63.blueharbornest.space/	-
redir.lucky-members.com	404	108.178.23.116	nginx	https://redir.lucky-members.com/	404 Not Found
rdr234.mooo.com	404	108.178.23.116	nginx	https://rdr234.mooo.com/	404 Not Found
s.zezo.fun	404	108.178.23.116	nginx	https://s.zezo.fun/	404 Not Found
send.mygameology.com	404	108.178.23.116	nginx	https://send.mygameology.com/	404 Not Found
rotator.leadseagle.shop	404	108.178.23.116	nginx	https://rotator.leadseagle.shop/	404 Not Found
secure.veloxworks.com	404	108.178.23.116	nginx	https://secure.veloxworks.com/	404 Not Found
prop.digihone.com	404	108.178.23.116	nginx	https://prop.digihone.com/	404 Not Found
rjs.kfje.top	404	108.178.23.116	nginx	https://rjs.kfje.top/	404 Not Found
wvw.buildontoptok.help	DEAD_NODNS	-	-	-	-
track.ursulouforwin.lol	404	108.178.23.116	nginx	https://track.ursulouforwin.lol/	404 Not Found
traffic.onlyfriends.online	404	108.178.23.116	nginx	https://traffic.onlyfriends.online/	404 Not Found
tks.mnup.top	404	108.178.23.116	nginx	https://tks.mnup.top/	404 Not Found
track.pyronex.app	404	108.178.23.116	nginx	https://track.pyronex.app/	404 Not Found
wwv.shiptrickon.wiki	DEAD_NODNS	-	-	-	-
wwv.ultrasindmars.work	DEAD_NODNS	-	-	-	-
tl.artbrage.sbs	404	108.178.23.116	nginx	https://tl.artbrage.sbs/	404 Not Found
v2.verifyhey.com	404	108.178.23.116	nginx	https://v2.verifyhey.com/	404 Not Found
secure.apex-cdn.xyz	404	108.178.23.116	nginx	https://secure.apex-cdn.xyz/	404 Not Found
try.pptube.top	404	108.178.23.116	nginx	https://try.pptube.top/	404 Not Found
v2.verifykay.com	404	108.178.23.116	nginx	https://v2.verifykay.com/	404 Not Found
v3.verifynio.com	404	108.178.23.116	nginx	https://v3.verifynio.com/	404 Not Found
trk.ads-srv.net	404	108.178.23.116	nginx	https://trk.ads-srv.net/	404 Not Found
v8.zyhia.xyz	404	108.178.23.116	nginx	https://v8.zyhia.xyz/	404 Not Found
v3.verifytotal.com	404	108.178.23.116	nginx	https://v3.verifytotal.com/	404 Not Found
v3.verifyho.com	404	108.178.23.116	nginx	https://v3.verifyho.com/	404 Not Found
track.beautifulmelonz111.lol	404	108.178.23.116	nginx	https://track.beautifulmelonz111.lol/	404 Not Found
v3.verifyom.com	404	108.178.23.116	nginx	https://v3.verifyom.com/	404 Not Found
wp.lianmengpingtaiyuming01.xyz	404	108.178.23.116	nginx	https://wp.lianmengpingtaiyuming01.xyz/	404 Not Found
werniqax.werniqax.shop	404	108.178.23.116	nginx	https://werniqax.werniqax.shop/	404 Not Found
verify.211pr.com	404	108.178.23.116	nginx	https://verify.211pr.com/	404 Not Found
wwv.balderseting.wiki	DEAD	108.178.23.116	-	https://wwv.balderseting.wiki/	-
visit.gobestcontent.com	404	108.178.23.116	nginx	https://visit.gobestcontent.com/	404 Not Found
verify.ironempiremotorcycle.com	404	108.178.23.116	nginx	https://verify.ironempiremotorcycle.com/	404 Not Found
ww.sfaswfsfb.xyz	404	108.178.23.116	nginx	https://ww.sfaswfsfb.xyz/	404 Not Found
story.leadseagle.shop	404	108.178.23.116	nginx	https://story.leadseagle.shop/	404 Not Found
webs.keyverticals.com	404	108.178.23.116	nginx	https://webs.keyverticals.com/	404 Not Found
yolivashop.yolivashop.shop	DEAD	108.178.23.116	-	https://yolivashop.yolivashop.shop/	-
zemorix.zemorix.shop	DEAD	108.178.23.116	-	https://zemorix.zemorix.shop/	-
xelmoruq.xelmoruq.shop	404	108.178.23.116	nginx	https://xelmoruq.xelmoruq.shop/	404 Not Found
x1.anotheroffer.my.id	404	108.178.23.116	nginx	https://x1.anotheroffer.my.id/	404 Not Found
zoltena.zoltena.shop	DEAD	108.178.23.116	-	https://zoltena.zoltena.shop/	-
xorvameq.xorvameq.shop	404	108.178.23.116	nginx	https://xorvameq.xorvameq.shop/	404 Not Found
your.onlyclubperk.club	404	108.178.23.116	nginx	https://your.onlyclubperk.club/	404 Not Found
ww3.niederolmer.online	404	108.178.23.116	nginx	https://ww3.niederolmer.online/	404 Not Found
yes.albagnanai.it	404	108.178.23.116	nginx	https://yes.albagnanai.it/	404 Not Found
